"country","year","type","twh","tot"
"473","Indonesia",2019,"gas_electricity",62320,3166.82
"474","Indonesia",2019,"hydro_electricity",21160,3166.82
"475","Indonesia",2019,"nuclear_electricity",0,3166.82
"476","Indonesia",2019,"oil_electricity",10590,3166.82
"477","Indonesia",2019,"other_renewable_exc_biofuel_electricity",14110,3166.82
"478","Indonesia",2019,"solar_electricity",120,3166.82
"479","Indonesia",2019,"wind_electricity",480,3166.82
"480","Indonesia",2019,"tot",295440,3166.82
"481","Poland",2014,"biofuel_electricity",9980,1982.42
"482","Poland",2014,"coal_electricity",129520,1982.42
"483","Poland",2014,"gas_electricity",5330,1982.42
"484","Poland",2014,"hydro_electricity",2180,1982.42
"485","Poland",2014,"nuclear_electricity",0,1982.42
"486","Poland",2014,"oil_electricity",3650,1982.42
"487","Poland",2014,"other_renewable_exc_biofuel_electricity",0,1982.42
"488","Poland",2014,"solar_electricity",10,1982.42
"489","Poland",2014,"wind_electricity",7680,1982.42
"490","Poland",2014,"tot",158350,1982.42
"491","Poland",2015,"biofuel_electricity",9940,1982.42
"492","Poland",2015,"coal_electricity",130520,1982.42
"493","Poland",2015,"gas_electricity",6390,1982.42
"494","Poland",2015,"hydro_electricity",1830,1982.42
"495","Poland",2015,"nuclear_electricity",0,1982.42
"496","Poland",2015,"oil_electricity",4700,1982.42
"497","Poland",2015,"other_renewable_exc_biofuel_electricity",0,1982.42
"498","Poland",2015,"solar_electricity",60,1982.42
"499","Poland",2015,"wind_electricity",10860,1982.42
"500","Poland",2015,"tot",164300,1982.42
"501","Poland",2016,"biofuel_electricity",7960,1982.42
"502","Poland",2016,"coal_electricity",130320,1982.42
"503","Poland",2016,"gas_electricity",7830,1982.42
"504","Poland",2016,"hydro_electricity",2140,1982.42
"505","Poland",2016,"nuclear_electricity",0,1982.42
"506","Poland",2016,"oil_electricity",5040,1982.42
